game_id,pfr_game_id,season,week,game_type,team,opponent,pfr_player_name,pfr_player_id,receiving_broken_tackles,receiving_drop,receiving_drop_pct,receiving_int,receiving_rat
2021_01_DAL_TB,202109090tam,2021,1,REG,DAL,TB,Amari Cooper,CoopAm00,0,0,0,0,139.1
2021_01_DAL_TB,202109090tam,2021,1,REG,DAL,TB,CeeDee Lamb,LambCe00,0,2,0.133,1,64.3
2021_01_DAL_TB,202109090tam,2021,1,REG,DAL,TB,Dalton Schultz,SchuDa00,2,0,0,0,97.9
2021_01_DAL_TB,202109090tam,2021,1,REG,DAL,TB,Michael Gallup,GallMi00,1,0,0,0,71.1
2021_01_DAL_TB,202109090tam,2021,1,REG,DAL,TB,Tony Pollard,PollTo00,0,0,0,0,96.9
2021_01_DAL_TB,202109090tam,2021,1,REG,DAL,TB,Blake Jarwin,JarwBl00,0,0,0,0,94.4
2021_01_DAL_TB,202109090tam,2021,1,REG,DAL,TB,Cedrick Wilson Jr.,WilsCe01,0,0,0,0,100
2021_01_DAL_TB,202109090tam,2021,1,REG,DAL,TB,Ezekiel Elliott,ElliEz00,0,0,0,0,79.2
2021_01_PHI_ATL,202109120atl,2021,1,REG,ATL,PHI,Calvin Ridley,RidlCa00,0,1,0.125,0,80.7
2021_01_PHI_ATL,202109120atl,2021,1,REG,ATL,PHI,Hayden Hurst,HursHa00,0,0,0,0,95.8
2021_01_PHI_ATL,202109120atl,2021,1,REG,ATL,PHI,Kyle Pitts,PittKy00,0,0,0,0,59.9
2021_01_PHI_ATL,202109120atl,2021,1,REG,ATL,PHI,Mike Davis,DaviMi01,0,0,0,0,59.7
2021_01_PHI_ATL,202109120atl,2021,1,REG,ATL,PHI,Keith Smith,SmitKe03,1,0,0,0,91.7
2021_01_PHI_ATL,202109120atl,2021,1,REG,ATL,PHI,Cordarrelle Patterson,PattCo00,0,0,0,0,93.7
2021_01_PHI_ATL,202109120atl,2021,1,REG,ATL,PHI,Russell Gage,GageRu00,0,0,0,0,39.6
2021_01_PHI_ATL,202109120atl,2021,1,REG,PHI,ATL,Jalen Reagor,ReagJa00,0,0,0,0,140.3
2021_01_PHI_ATL,202109120atl,2021,1,REG,PHI,ATL,DeVonta Smith,SmitDe07,0,0,0,0,141.1
2021_01_PHI_ATL,202109120atl,2021,1,REG,PHI,ATL,Dallas Goedert,GoedDa00,0,0,0,0,141.2
2021_01_PHI_ATL,202109120atl,2021,1,REG,PHI,ATL,Miles Sanders,SandMi01,2,0,0,0,99.2
2021_01_PHI_ATL,202109120atl,2021,1,REG,PHI,ATL,Quez Watkins,WatkQu00,0,0,0,0,98.6
2021_01_PHI_ATL,202109120atl,2021,1,REG,PHI,ATL,Zach Ertz,ErtzZa00,0,0,0,0,118.7
2021_01_PHI_ATL,202109120atl,2021,1,REG,PHI,ATL,Kenneth Gainwell,GainKe00,0,0,0,0,70.1
2021_01_PIT_BUF,202109120buf,2021,1,REG,BUF,PIT,Stefon Diggs,DiggSt00,0,0,0,0,81.9
2021_01_PIT_BUF,202109120buf,2021,1,REG,BUF,PIT,Cole Beasley,BeasCo00,0,1,0.077,0,72.6
2021_01_PIT_BUF,202109120buf,2021,1,REG,BUF,PIT,Dawson Knox,KnoxDa00,0,0,0,0,109.4
2021_01_PIT_BUF,202109120buf,2021,1,REG,BUF,PIT,Emmanuel Sanders,SandEm00,0,0,0,0,70.8
2021_01_PIT_BUF,202109120buf,2021,1,REG,BUF,PIT,Devin Singletary,SingDe00,0,1,0.2,0,64.6
2021_01_PIT_BUF,202109120buf,2021,1,REG,BUF,PIT,Gabriel Davis,DaviGa01,0,1,0.2,0,108.3
2021_01_PIT_BUF,202109120buf,2021,1,REG,PIT,BUF,Diontae Johnson,JohnDi01,0,0,0,0,92.1
2021_01_PIT_BUF,202109120buf,2021,1,REG,PIT,BUF,JuJu Smith-Schuster,SmitJu00,1,0,0,0,70.8
2021_01_PIT_BUF,202109120buf,2021,1,REG,PIT,BUF,Chase Claypool,ClayCh01,0,0,0,0,89.6
2021_01_PIT_BUF,202109120buf,2021,1,REG,PIT,BUF,James Washington,WashJa00,0,0,0,0,87.5
2021_01_PIT_BUF,202109120buf,2021,1,REG,PIT,BUF,Eric Ebron,EbroEr00,0,0,0,0,83.3
2021_01_PIT_BUF,202109120buf,2021,1,REG,PIT,BUF,Pat Freiermuth,FreiPa00,0,0,0,0,118.7
2021_01_PIT_BUF,202109120buf,2021,1,REG,PIT,BUF,Zach Gentry,GentZa00,0,0,0,0,79.2
2021_01_PIT_BUF,202109120buf,2021,1,REG,PIT,BUF,Najee Harris,HarrNa00,0,0,0,0,42.4
2021_01_NYJ_CAR,202109120car,2021,1,REG,CAR,NYJ,Christian McCaffrey,McCaCh01,1,0,0,0,107.9
2021_01_NYJ_CAR,202109120car,2021,1,REG,CAR,NYJ,D.J. Moore,MoorD.00,0,1,0.125,0,106.2
2021_01_NYJ_CAR,202109120car,2021,1,REG,CAR,NYJ,Terrace Marshall Jr.,MarsTe00,0,0,0,0,61.8
2021_01_NYJ_CAR,202109120car,2021,1,REG,CAR,NYJ,Dan Arnold,ArnoDa00,0,0,0,0,70.1
2021_01_NYJ_CAR,202109120car,2021,1,REG,CAR,NYJ,Chuba Hubbard,HubbCh01,0,0,0,0,79.2
2021_01_NYJ_CAR,202109120car,2021,1,REG,CAR,NYJ,Robby Anderson,AndeRo04,0,0,0,0,121.5
2021_01_NYJ_CAR,202109120car,2021,1,REG,CAR,NYJ,Ian Thomas,ThomIa00,0,0,0,0,79.2
2021_01_NYJ_CAR,202109120car,2021,1,REG,NYJ,CAR,Braxton Berrios,BerrBr00,0,0,0,0,92
